"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1633017202.925,164337207,2021273,10477618,-1,GE_042,Pg,-,1.0156809,145.81388,4.2719613,17.098295,1.27455,-1,-1,0.82722171,0.5,-999,-,-,11.131972,"1",,-1,2021-09-30 16:06:16
GERES,1633017209.1,164337208,2021273,10477618,-1,GE_042,Px,-,1.5776824,144.62525,7.5221773,16.364569,2.1469086,-1,-1,0.54864783,0.5,-999,-,-,4.9190354,"2",,-1,2021-09-30 16:06:16
GERES,1633017223.5,164337209,2021273,10477618,-1,GE_099,Lg,-,0.90361324,140.99412,2.0293851,25.887507,0.91687338,-1,-1,1.5268021,0.33333333,-999,-,-,13.100884,"1",,-1,2021-09-30 16:06:16
GERES,1633017456.775,164337210,2021273,-1,-1,GE_001,P,-,1.72,32.39984,23.012958,8.2178392,3.2785685,-1,-1,0.68245014,0.66666667,-999,-,-,3.7221084,"3",,-1,2021-09-30 16:06:16
GERES,1633017559,164337211,2021273,10477619,-1,GE_083,Pg,-,1.0916912,15.830742,3.2073556,15.705136,0.87904171,-1,-1,0.58958633,0.33333333,-999,-,-,9.9678211,"1",,-1,2021-09-30 16:06:16
GERES,1633017574.85,164337212,2021273,10477619,-1,GE_048,Lg,-,0.685,11.395489,1.5148803,27.959536,0.73921878,-1,-1,3.6046578,0.5,-999,-,-,18.332855,"1",,-1,2021-09-30 16:06:16
GERES,1633020261.55,164338061,2021273,-1,-1,GE_007,Pn,-,1.72,300.41958,7.7068409,16.866068,2.2669406,-1,-1,0.39185273,0.66666667,-999,-,-,3.4208522,"1",,-1,2021-09-30 16:58:13
GERES,1633046653.475,164344427,2021274,-1,-1,GE_006,P,-,1.72,195.18584,18.668278,9.6783287,3.1394912,-1,-1,0.27861179,0.66666667,-999,-,-,3.5251193,"1",,-1,2021-10-01 00:18:15
GERES,1633051323.275,164345574,2021274,10478067,-1,GE_028,P,-,0.8673367,120.46554,6.6934561,7.8951843,0.92181351,-1,-1,1.0313035,0.5,-999,-,-,13.810061,"1",,-1,2021-10-01 01:36:18
GERES,1633051332.525,164345575,2021274,10478067,-1,GE_069,tx,-,1.2426572,124.62111,6.1672834,7.8864307,0.84848093,-1,-1,0.47641384,0.33333333,-999,-,-,8.0042772,"1",,-1,2021-10-01 01:36:18
GERES,1633051341.925,164345576,2021274,10478067,-1,GE_044,tx,-,1.6950077,72.645975,20.445104,4.4735199,1.58785,-1,-1,0.83242494,0.5,-999,-,-,4.1479473,"1",,-1,2021-10-01 01:36:18
GERES,1633051346.125,164345577,2021274,10478067,-1,GE_075,tx,-,1.4969226,103.13905,5.6780317,8.2445383,0.81670233,-1,-1,0.42669377,0.33333333,-999,-,-,5.5315814,"1",,-1,2021-10-01 01:36:18
GERES,1633051482.825,164345578,2021274,10478068,-1,GE_031,P,-,1.2465016,143.74616,14.408709,2.4820142,0.62253205,-1,-1,1.8687028,0.5,-999,-,-,7.9596844,"1",,-1,2021-10-01 01:36:18
GERES,1633051487.775,164345579,2021274,10478068,-1,GE_031,tx,-,1.72,149.93142,20.909738,2.9294746,1.0631706,-1,-1,0.86420986,0.5,-999,-,-,3.642982,"1",,-1,2021-10-01 01:36:18
