"ARID","ORID","STA","PHASE","BELIEF","DELTA","SEAZ","ESAZ","TIMERES","TIMEDEF","AZRES","AZDEF","SLORES","SLODEF","EMARES","WGT","VMODEL","COMMID","LDDATE"
164337210,21164327,GERES,PKPbc,-1,148.77056,15.123534,349.55078,0.077108485,d,-5.4172831,n,1.7311149,n,-999,0.65879749,IASPEI,-1,2021-10-01 14:02:15
164345574,21174873,GERES,P,-1,33.744543,110.73075,314.70355,0.2535836,d,9.7347933,n,-0.78272364,n,-999,0.7363871,IASPEI,-1,2021-10-04 09:14:51
164345578,21174873,GERES,PcP,-1,33.744543,110.73075,314.70355,0.96726498,d,33.015413,n,-0.35476253,n,-999,0.68005842,IASPEI,-1,2021-10-04 09:14:52
164345580,21174873,GERES,ScP,-1,33.744543,110.73075,314.70355,1.4155923,d,22.872073,n,0.34663657,n,-999,0.44445496,IASPEI,-1,2021-10-04 09:14:52
164346530,21175977,GERES,P,-1,33.765494,110.44482,314.53792,0.76792664,d,166.86094,n,-4.8247965,n,-999,0.60095086,IASPEI,-1,2021-10-04 13:38:07
164355913,21179536,GERES,P,-1,87.329056,64.914624,320.92566,-0.46038773,d,23.640969,n,0.86782466,n,-999,0.71725775,IASPEI,-1,2021-10-05 08:11:46
164357597,21179675,GERES,P,-1,75.240512,354.38852,6.5976854,-0.23324333,d,2.5261048,n,-0.49258302,n,-999,0.90372923,IASPEI,-1,2021-10-05 08:42:49
164322958,21174691,GERES,PKPbc,-1,147.6133,22.138247,344.84067,0.49188561,d,22.861753,n,1.2818782,n,-999,0.92174845,IASPEI,-1,2021-10-04 08:22:16
164344764,21174935,GERES,P,-1,79.310861,3.0764827,356.70257,0.15852376,d,0.15053364,n,-0.44615339,n,-999,0.933708,IASPEI,-1,2021-10-04 09:19:47
164372764,21189551,GERES,pPKPbc,-1,148.52697,35.198662,335.92799,0.6401532,d,9.8013384,n,1.0781557,n,-999,0.68280466,IASPEI,-1,2021-10-07 10:01:33
164329420,21172405,GERES,P,-1,81.720824,38.566189,328.36621,0.016148643,d,-7.6693515,n,-0.03312072,n,-999,0.82575234,IASPEI,-1,2021-10-03 16:58:18
164329421,21172406,GERES,P,-1,87.553076,63.931309,321.18571,0.50650148,d,2.6777472,n,0.50115274,n,-999,0.73254507,IASPEI,-1,2021-10-03 16:59:36
164344888,21174597,GERES,P,-1,79.268525,3.080104,356.69558,-0.096895574,d,-0.26826715,n,-0.18341613,n,-999,0.92010939,IASPEI,-1,2021-10-04 08:01:10
164356935,21179612,GERES,Pn,-1,16.190172,127.96361,319.02138,-0.47816904,d,0.75990796,d,-1.8906476,n,-999,0.38545757,IASPEI,-1,2021-10-05 08:28:04
164356936,21179610,GERES,PKiKP,-1,111.36436,76.48561,319.62534,-1.3962969,d,-9.2365864,n,1.3994075,n,-999,0.56603012,IASPEI,-1,2021-10-05 08:25:27
164334324,21175032,GERES,PcP,-1,42.952856,84.594314,305.32027,0.32984026,d,9.8108158,n,1.3009616,n,-999,0.7100228,IASPEI,-1,2021-10-04 09:44:58
164334325,21175032,GERES,ScP,-1,42.952856,84.594314,305.32027,-0.72192638,d,3.8604658,n,0.72312965,n,-999,0.42322854,IASPEI,-1,2021-10-04 09:44:58
164366669,21180087,GERES,PKP,-1,127.08748,51.295675,328.70267,0.84301959,d,46.298968,n,0.123298,n,-999,0.66767806,IASPEI,-1,2021-10-05 10:26:56
164333356,21174719,GERES,PKhKP,-1,138.79884,41.159364,333.41302,-999,n,39.465289,n,-999,n,-999,-1,-,-1,2021-10-04 08:36:26
164333357,21174719,GERES,PKP,-1,138.79884,41.159364,333.41302,0.97916081,d,-45.558074,n,-0.068910008,n,-999,0.31317701,IASPEI,-1,2021-10-04 08:36:26
164356229,21179540,GERES,P,-1,62.290267,74.895511,312.50876,0.81785244,d,-2.2118571,n,-0.27122533,n,-999,0.83985511,IASPEI,-1,2021-10-05 08:15:30
164367850,21176556,GERES,PKP,-1,127.10268,51.187844,328.75763,0.029894259,d,18.78267,n,-0.74337105,n,-999,0.7659744,IASPEI,-1,2021-10-04 16:08:30
164367986,21174779,GERES,PKPbc,-1,146.47702,11.620661,352.05986,0.84421134,d,85.504355,n,-0.61644808,n,-999,0.62975221,IASPEI,-1,2021-10-04 08:47:56
164342245,21164073,GERES,P,-1,79.838048,31.066123,331.92612,1.1027384,d,-14.366879,n,1.7533345,n,-999,0.70866539,IASPEI,-1,2021-10-01 12:37:52
164369360,21175288,GERES,PKPbc,-1,145.86185,12.24871,351.65663,-0.82496834,d,-49.11861,n,0.21686501,n,-999,0.61631977,IASPEI,-1,2021-10-04 10:38:46
