"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164323790,2021273,1632973707.1,GERES,GE_001,coh,-1,1.5,258.46538,32.168566,0.060011959,0.033252757,3.4249921,0.072251588,9.0436576,1.72,1,4,-1,2021-09-30 03:56:13
164324127,2021273,1632974693.85,GERES,GE_046,coh,-1,2,5.684923,10.204809,0.26651061,0.047404825,4.290462,0.10389899,2.5030922,1.6717621,1.3333333,3,-1,2021-09-30 04:16:26
164324128,2021273,1632975017.775,GERES,GE_006,coh,-1,1.5,354.28941,74.336805,0.024119686,0.029144287,4.3256383,0.10449122,11.773147,1.6661433,1,3,-1,2021-09-30 04:16:26
164325530,2021273,1632980810.65,GERES,GE_005,coh,-1,1.5,156.1135,10.401876,0.091868541,0.016655561,4.3510108,0.14271484,36.047976,1.6621188,1,1,-1,2021-09-30 05:58:20
164331463,2021273,1632998771.4,GERES,GE_003,coh,-1,1.5,32.005383,22.987505,0.056603849,0.022557889,3.4884298,0.10353458,19.651808,1.72,1,2,-1,2021-09-30 10:58:32
164333912,2021273,1633006641.6,GERES,GE_050,coh,-1,2,70.798883,3.8193615,0.25540821,0.01702247,6.6479716,0.2204514,19.412291,1.3704182,1.3333333,2,-1,2021-09-30 13:14:11
164338564,2021273,1633022217.25,GERES,GE_042,coh,-1,2,143.79054,8.8439131,0.083285478,0.012842805,7.5452981,0.11805303,34.103753,1.2832922,1.3333333,1,-1,2021-09-30 17:28:13
164338565,2021273,1633022224.975,GERES,GE_042,coh,-1,2,146.13631,10.283247,0.10983107,0.019685652,4.0915194,0.085914932,14.515178,1.7044331,1.3333333,2,-1,2021-09-30 17:28:13
164326887,2021273,1632984963.175,GERES,GE_068,coh,-1,3,105.12401,17.565775,0.13797904,0.042136225,8.7434177,0.20680435,1.4080828,1.1818781,2,4,-1,2021-09-30 07:06:08
164337207,2021273,1633017202.925,GERES,GE_042,coh,-1,2,145.81388,4.2719613,0.15376856,0.011462296,11.131972,0.19123468,42.813302,1.0156809,1.3333333,1,-1,2021-09-30 16:06:15
164337208,2021273,1633017209.1,GERES,GE_042,coh,-1,2,144.62525,7.5221773,0.14717001,0.0193076,4.9190354,0.11465732,15.08917,1.5776824,1.3333333,2,-1,2021-09-30 16:06:15
164337209,2021273,1633017223.5,GERES,GE_099,coh,-1,3,140.99412,2.0293851,0.23281179,0.008245635,13.100884,0.28431144,36.769797,0.90361324,2,1,-1,2021-09-30 16:06:15
164337210,2021273,1633017456.775,GERES,GE_001,coh,-1,1.5,32.39984,23.012958,0.073904755,0.029484855,3.7221084,0.075955883,11.502743,1.72,1,3,-1,2021-09-30 16:06:15
164337211,2021273,1633017559,GERES,GE_083,coh,-1,3,15.830742,3.2073556,0.14123959,0.0079054068,9.9678211,0.18957987,40.002855,1.0916912,2,1,-1,2021-09-30 16:06:15
164337212,2021273,1633017574.85,GERES,GE_048,coh,-1,2,11.395489,1.5148803,0.25144598,0.0066479498,18.332855,0.53799635,127.27599,0.685,1.3333333,1,-1,2021-09-30 16:06:15
164341298,2021273,1633033633.9,GERES,GE_006,coh,-1,1.5,306.27662,8.3559993,0.16224859,0.023641322,4.115283,0.077572815,17.891878,1.700448,1,3,-1,2021-09-30 20:36:12
164346016,2021274,1633053601.125,GERES,GE_007,coh,-1,1.5,319.45117,11.921607,0.1421328,0.029520437,3.7589269,0.081478141,11.475031,1.72,1,3,-1,2021-10-01 02:06:27
