"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1634596188.68954,164848537,2021291,-1,-1,mb_beam,P,-,1.07,138.65222,25.823746,6.534665,2.92037,58.788844,0.49015,0.19218505,0.46577621,-999,-,-,1.796596,-,,-1,2021-10-22 09:39:52
GERES,1634561811.13,164776216,2021291,10499733,-1,GE_019,Sx,-,0.58227221,179.38061,3.8143704,24.686716,1.6431732,-1,-1,8.5894393,0.66666667,-999,-,-,7.4623375,"1",,-1,2021-10-21 10:12:55
GERES,1634673938.325,164809488,2021292,-1,-1,GE_010,Pn,-,0.90209371,151.96615,9.8344106,11.640149,1.9954966,-1,-1,0.76962072,0.66666667,-999,-,-,4.1054835,"1",,-1,2021-10-22 09:31:42
GERES,1634742657.62037,164830154,2021293,10501895,-1,GE_004,P,-,0.77501616,99.30994,13.056617,8.2481156,1.8755242,-1,-1,0.81943513,0.66666667,-999,-,-,5.2056861,"1",,-1,2021-10-21 12:43:51
GERES,1634781864.225,164884504,2021294,-1,-1,mb_beam,P,-,0.18256154,32.840404,3.702068,17.469654,1.128575,52.321536,0.892686,4.049466,0.377358,-999,-,-,15.747419,"1",,-1,2021-10-25 09:07:38
GERES,1634804978.1178,164846807,2021294,10502520,-1,GE_004,P,-,0.42855616,118.61046,35.722628,1.6719221,1.0256039,-1,-1,3.6435815,0.66666667,-999,-,-,9.9449739,"1",,-1,2021-10-25 14:23:13
GERES,1634806127.125,164847335,2021294,10502561,-1,GE_003,P,-,0.12,34.99202,5.7686587,4.8863054,0.49175566,-1,-1,22.034846,0.66666667,-999,-,-,34.293007,"1",,-1,2021-10-25 14:20:12
GERES,1634941162.29789,164887346,2021295,10504298,-1,GE_003,P,-,0.64823795,40.914383,47.50083,2.6485875,2.1334548,-1,-1,1.4539304,0.66666667,-999,-,-,6.5970345,"1",,-1,2021-10-25 08:59:08
GERES,1634995390.96934,164988937,2021296,-1,-1,mb_beam,Pn,-,1.07,138.70843,14.538534,15.016765,3.800219,66.134316,0.309697,0.26469919,0.65039444,-999,-,-,1.359975,-,,-1,2021-10-27 09:36:11
GERES,1635038382.88645,164912098,2021297,-1,-1,GE_027,P,-,0.71909921,26.565051,16.084034,6.2657132,1.7531373,-1,-1,0.46402557,0.5,-999,-,-,5.7789679,"3",,-1,2021-10-28 07:42:57
GERES,1635053031.6,164916001,2021297,10505729,-1,GE_003,P,-,0.12,57.171458,4.1515253,4.9226083,0.35660328,-1,-1,22.036196,0.66666667,-999,-,-,76.409859,"1",,-1,2021-10-28 10:39:12
GERES,1635124984.49101,164934603,2021298,-1,-1,GE_026,P,-,0.21187171,25.082637,13.199163,3.1328391,0.72011374,-1,-1,1.4572956,0.5,-999,-,-,14.908242,"1",,-1,2021-10-27 08:38:00
GERES,1635129854.76328,164935681,2021298,-1,-1,GE_028,P,-,0.91794122,80.537678,40.809659,3.2465872,2.2638521,-1,-1,0.32097348,0.5,-999,-,-,3.9857061,"3",,-1,2021-10-27 15:16:48
