"LAT","LON","DEPTH","TIME","ORID","EVID","JDATE","NASS","NDEF","NDP","GRN","SRN","ETYPE","DEPDP","DTYPE","MB","MBID","MS","MSID","ML","MLID","ALGORITHM","AUTH","COMMID","LDDATE"
52.134428,-171.20669,29.011227,1633047051.01445,21174935,21162700,2021274,157,70,0,9,1,-,-999,f,4.9343187,46983840,4.4030111,47007890,4.32493,46983843,LocSAT,,-1,2021-10-04 09:19:44
36.313737,71.227871,131.34666,1632998197.09501,21175895,21159044,2021273,46,43,5,717,48,-,-999,d,3.9340938,46986283,-999,-1,-999,-1,LocSAT,,-1,2021-10-04 13:22:04
-8.3869115,156.40312,0,1633057175.35274,21175979,21162362,2021274,55,27,0,193,15,-,-999,g,4.2758997,46986433,3.7026745,47007902,3.4420898,46986437,LocSAT,,-1,2021-10-04 13:41:31
35.446438,27.799689,0,1633160735.28417,21179211,21168272,2021275,26,25,0,369,30,-,-999,g,4.0193169,46994170,-999,-1,3.6216629,47016112,LocSAT,,-1,2021-10-05 06:27:41
-21.540887,174.61636,528.69717,1633157124.86641,21179443,21166940,2021275,21,19,0,185,14,-,-999,f,3.8280496,46994165,-999,-1,-999,-1,LocSAT,,-1,2021-10-05 07:42:40
84.636887,103.47093,0,1633132597.51426,21174686,21165897,2021274,78,21,0,651,40,-,-999,g,4.0016203,46985021,3.5614204,47007968,4.4471595,46985022,LocSAT,,-1,2021-10-04 08:19:47
35.300112,25.311508,0,1633163937.98734,21181383,21167332,2021275,15,14,0,370,30,-,-999,r,3.8982097,46997828,-999,-1,3.6185577,46997832,LocSAT,,-1,2021-10-05 15:41:31
26.709032,92.318721,0,1633252209.46985,21184732,21171280,2021276,13,11,0,317,26,-,-999,g,3.7733355,47003732,3.6227748,47017534,-999,-1,LocSAT,,-1,2021-10-06 09:13:57
-19.019808,168.95886,186.11326,1633547716.04225,21190983,21187060,2021279,29,27,0,186,14,-,-999,f,3.9131339,47024350,2.5062475,47059420,-999,-1,LocSAT,,-1,2021-10-07 15:39:47
36.416988,71.369699,136.22059,1633393211.176,21189395,21179185,2021278,56,45,8,717,48,-,-999,d,3.9913602,47026861,3.0886126,47027014,-999,-1,LocSAT,,-1,2021-10-07 09:19:27
53.683227,-163.7168,0,1633491741.65775,21194506,21184891,2021279,98,31,0,10,1,-,-999,g,4.1345695,47023768,3.7984248,47059364,3.6455988,47023772,LocSAT,,-1,2021-10-08 09:18:50
-22.884116,172.99463,0,1633552875.88029,21191159,21187312,2021279,20,9,0,189,14,-,-999,g,4.1316136,47024360,3.5299062,47059428,4.0874672,47024362,LocSAT,,-1,2021-10-07 16:34:18
39.403578,20.747598,0,1633573356.65374,21207216,21188186,2021280,15,14,0,392,31,-,-999,g,3.8446505,47046366,2.8076136,47061536,2.8128776,47046807,LocSAT,,-1,2021-10-11 06:50:12
30.364548,94.889101,0,1633401495.49008,21185869,21179167,2021278,36,24,0,306,26,-,-999,g,4.2637421,47026856,3.3089157,47027026,4.330859,47006664,LocSAT,,-1,2021-10-06 13:21:13
-8.7369637,-74.637398,130.00804,1633838779.71943,21214492,21203779,2021283,28,25,0,112,8,-,-999,f,3.8137568,47062412,-999,-1,-999,-1,LocSAT,,-1,2021-10-12 16:36:08
42.840472,-1.6189962,0,1633985124.21285,21223095,21210386,2021284,14,13,0,378,31,-,-999,g,4.0040576,47079273,-999,-1,3.4275948,47079277,LocSAT,,-1,2021-10-14 14:19:58
6.1619755,127.02855,69.124109,1633995021.13971,21223260,21210957,2021284,55,48,0,248,22,-,-999,f,4.334226,47079899,3.8570146,47088317,-999,-1,LocSAT,,-1,2021-10-14 15:22:14
42.504555,1.47697,0,1633940594.4596,21222444,21207538,2021284,21,15,0,378,31,-,-999,g,3.5657231,47077900,2.629661,47088261,4.1116168,47087548,LocSAT,,-1,2021-10-14 11:17:53
25.438021,126.37234,47.04715,1634009745.49127,21227301,21212583,2021285,62,29,0,238,20,-,-999,f,4.2506561,47087935,3.6469737,47088549,3.6221235,47087939,LocSAT,,-1,2021-10-15 13:32:10
-17.73776,-175.47114,238.8265,1633842262.07601,21213823,21203508,2021283,24,19,0,173,12,-,-999,f,3.7091189,47077948,-999,-1,-999,-1,LocSAT,,-1,2021-10-12 13:44:24
-16.797797,-174.29993,148.44101,1634095879.74462,21237965,21216515,2021286,31,23,0,173,12,-,-999,f,4.11851,47106276,-999,-1,-999,-1,LocSAT,,-1,2021-10-18 08:28:54
30.341377,94.748718,0,1634142927.05921,21237809,21219675,2021286,12,11,0,306,26,-,-999,g,3.6842224,47105947,3.039067,47110122,3.3915241,47105951,LocSAT,,-1,2021-10-18 07:39:42
50.401197,18.865756,0,1634180172.55694,21239197,21221709,2021287,5,5,0,548,36,-,-999,g,-999,-1,-999,-1,1.7746787,47108938,LocSAT,,-1,2021-10-18 13:57:44
-4.1650721,152.85316,0,1634118866.21443,21223392,21217570,2021286,47,28,0,192,15,-,-999,g,4.3932885,47081154,3.7479764,47110092,4.0085051,47081156,LocSAT,,-1,2021-10-14 16:12:40
9.7535871,-84.685479,0,1634093663.68139,21237823,21216408,2021286,84,32,0,78,6,-,-999,g,4.3481436,47106058,4.2724519,47110060,3.6223106,47106062,LocSAT,,-1,2021-10-18 07:56:08
-31.060268,-177.70428,0,1634400327.28585,21246975,21232745,2021289,79,39,0,177,12,-,-999,g,4.4204169,47125095,3.9632701,47128695,3.9286888,47125099,LocSAT,,-1,2021-10-20 10:43:41
30.834221,56.439144,0,1634384760.46928,21240344,21231996,2021289,121,42,0,348,29,-,-999,g,4.332524,47115606,4.4193758,47128675,3.9897014,47115609,LocSAT,,-1,2021-10-18 21:15:38
28.572895,87.226572,0,1634294138.55196,21232315,21226846,2021288,22,14,0,306,26,-,-999,g,3.9372054,47106846,2.9944713,47128299,3.9238226,47106848,LocSAT,,-1,2021-10-16 19:20:20
35.27877,25.263976,0,1634360254.46251,21239502,21230190,2021289,16,16,0,370,30,-,-999,g,3.8347693,47110331,-999,-1,3.1702051,47128463,LocSAT,,-1,2021-10-18 15:28:23
-7.0516129,130.00937,55.28956,1634244553.4567,21241899,21224287,2021287,49,37,0,281,24,-,-999,f,4.0836895,47118734,3.1705508,47118826,5.0334446,47114258,LocSAT,,-1,2021-10-19 07:33:29
15.636467,-49.888869,0,1634424972.59024,21247084,21232967,2021289,98,25,0,402,32,-,-999,g,4.3541478,47125391,3.9368518,47128731,4.7249807,47125395,LocSAT,,-1,2021-10-20 11:27:25
-29.589355,-175.71253,0,1634322422.17213,21242302,21228698,2021288,6,6,0,177,12,-,-999,g,3.5941969,47115128,-999,-1,3.1952644,47115132,LocSAT,,-1,2021-10-19 09:39:42
-19.281612,169.72104,33.793644,1634323117.97401,21235766,21228234,2021288,19,19,0,186,14,-,-999,f,4.0828682,47106903,-999,-1,3.7779801,47106906,LocSAT,,-1,2021-10-17 19:11:32
29.30062,89.235718,0,1633735955.57841,21212649,21198457,2021281,9,6,0,306,26,-,-999,g,3.6043932,47056988,3.6246459,47070364,3.0880051,47056992,LocSAT,,-1,2021-10-12 09:35:34
17.871033,-65.365944,0,1633717700.00951,21212860,21196582,2021281,54,35,0,90,7,-,-999,g,4.2762881,47057581,3.5509407,47070338,3.6626053,47057587,LocSAT,,-1,2021-10-12 10:16:09
-19.186695,-176.31315,0,1633656835.7205,21207412,21193059,2021281,7,7,0,181,13,-,-999,g,3.9369871,47051989,-999,-1,-999,-1,LocSAT,,-1,2021-10-11 08:05:57
50.321222,18.678292,0,1633646615.85515,21207789,21192508,2021280,10,9,0,548,36,-,-999,g,-999,-1,-999,-1,1.9922193,47047682,LocSAT,,-1,2021-10-11 10:03:10
-11.967865,166.73134,209.74247,1634711909.81865,21255899,21246319,2021293,79,68,4,184,14,-,-999,d,4.6624732,47144138,-999,-1,-999,-1,LocSAT,,-1,2021-10-22 10:31:00
32.103059,138.19775,330.06493,1634805406.85609,21267446,21251056,2021294,134,107,21,211,18,-,-999,d,5.0374994,47164719,-999,-1,-999,-1,LocSAT,,-1,2021-10-25 14:20:04
50.125443,178.84324,0,1634686203.64654,21255837,21245142,2021292,108,45,0,6,1,-,-999,g,4.5481508,47143976,3.7041171,47145811,4.7845539,47143980,LocSAT,,-1,2021-10-22 10:03:20
-16.989807,-173.97262,75.004648,1634939986.78376,21266659,21257627,2021295,65,26,0,173,12,-,-999,f,4.4206676,47187988,3.6867862,47188089,-999,-1,LocSAT,,-1,2021-10-25 08:59:07
17.289606,-62.178675,102.16465,1635029247.66115,21278440,21261373,2021296,39,30,0,92,7,-,-999,f,4.0092411,47185902,3.2888069,47188351,-999,-1,LocSAT,,-1,2021-10-28 11:44:17
-21.838838,179.68869,590.90706,1635104831.90797,21281598,21264878,2021297,17,15,0,171,12,-,-999,f,3.3737677,47192703,-999,-1,-999,-1,LocSAT,,-1,2021-10-29 07:49:38
-7.4261874,128.40783,157.21572,1635388328.66018,21295276,21277120,2021301,77,57,0,280,24,-,-999,f,4.5311467,47229246,3.3075827,47239580,-999,-1,LocSAT,,-1,2021-11-01 12:53:04
14.711729,55.171663,0,1635501982.6908,21300559,21282253,2021302,36,26,0,417,33,-,-999,g,4.0625707,47239948,4.2464008,47240191,4.6138877,47228358,LocSAT,,-1,2021-11-02 13:44:37
34.898615,26.231901,25.180239,1635393085.68444,21295450,21277262,2021301,21,14,0,370,30,-,-999,f,3.6737228,47217977,2.8843981,47239584,3.2783318,47217981,LocSAT,,-1,2021-11-01 13:22:06
-19.57477,-177.72415,383.32287,1635581119.51134,21305714,21285970,2021303,184,109,0,181,13,-,-999,f,4.854022,47238650,-999,-1,-999,-1,LocSAT,,-1,2021-11-03 13:47:20
