"ARID","ORID","STA","PHASE","BELIEF","DELTA","SEAZ","ESAZ","TIMERES","TIMEDEF","AZRES","AZDEF","SLORES","SLODEF","EMARES","WGT","VMODEL","COMMID","LDDATE"
164337210,21161385,GERES,PKPbc,0,149.16593,15.334183,349.38171,-999,n,-999,n,-999,n,0,-1,-,-1,2021-09-30 21:17:21
164345574,21162947,GERES,P,0,33.478227,110.55513,314.4879,-0.079228,d,9.91041,d,-0.76741,d,0,0.679828,IASPEI,-1,2021-10-01 06:57:02
164345575,21162947,GERES,tx,0,33.478227,110.55513,314.4879,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 06:57:02
164345578,21162947,GERES,PcP,0,33.478227,110.55513,314.4879,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 06:57:02
164345579,21162947,GERES,tx,0,33.478227,110.55513,314.4879,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 06:57:02
164345580,21162947,GERES,ScP,0,33.478227,110.55513,314.4879,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 06:57:02
164346530,21163184,GERES,P,0,34.065675,109.9949,314.38714,2.175879,d,38.575528,d,-5.851559,d,0,0.454334,IASPEI,-1,2021-10-01 08:16:54
164346654,21163184,GERES,tx,0,34.065675,109.9949,314.38714,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 08:16:54
164355913,21165053,GERES,P,0,87.394428,64.735242,320.97732,-0.589098,d,23.820351,d,0.870099,d,0,0.50626,IASPEI,-1,2021-10-01 18:36:58
164357597,21165290,GERES,P,0,75.229507,354.42306,6.559513,0.415268,d,2.491557,d,-0.480416,d,0,0.812311,IASPEI,-1,2021-10-01 19:56:52
164357598,21165290,GERES,tx,0,75.229507,354.42306,6.559513,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 19:56:52
164322958,21158498,GERES,PKP,0,145.99399,21.350276,345.49932,-1.345562,d,23.649724,d,2.280915,d,0,0.450301,IASPEI,-1,2021-09-30 08:16:57
164335336,21161035,GERES,PKPbc,0,150.50811,22.472912,344.34284,-999,n,-999,n,-999,n,0,-1,-,-1,2021-09-30 19:36:55
164344764,21162772,GERES,P,0,79.288733,3.066755,356.71133,0.741506,d,0.160261,d,-0.434036,d,0,0.828236,IASPEI,-1,2021-10-01 05:57:08
164344765,21162772,GERES,tx,0,79.288733,3.066755,356.71133,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 05:57:08
164329420,21159937,GERES,P,0,81.724131,38.484115,328.41035,-0.20947,d,-7.587277,d,-0.047977,d,0,0.581729,IASPEI,-1,2021-09-30 14:37:20
164329421,21159939,GERES,P,0,87.468577,63.985123,321.15574,-0.316953,d,2.623933,d,0.460962,d,0,0.513459,IASPEI,-1,2021-09-30 14:37:20
164337351,21161456,GERES,P,0,84.698677,62.518812,320.83047,0.689993,d,-17.518812,d,-2.960752,d,0,0.514773,IASPEI,-1,2021-09-30 21:36:48
164344888,21162831,GERES,P,0,79.253818,3.077648,356.69712,-0.163977,d,-0.265811,d,-0.191519,d,0,0.711921,IASPEI,-1,2021-10-01 06:16:42
164344889,21162831,GERES,tx,0,79.253818,3.077648,356.69712,-999,n,-999,n,-999,n,0,-1,-,-1,2021-10-01 06:16:42
164356935,21165238,GERES,P,0,18.586728,135.70051,326.13209,9.025648,d,-6.976988,d,-0.524496,d,0,0.353855,IASPEI,-1,2021-10-01 19:37:24
164334324,21160910,GERES,PcP,0,43.409226,85.225853,305.8676,-999,n,-999,n,-999,n,0,-1,-,-1,2021-09-30 18:56:59
164334325,21160913,GERES,P,0,75.881761,88.278791,317.60386,-14.90888,d,-2.571386,d,-0.099706,d,0,0.504201,IASPEI,-1,2021-09-30 18:56:59
