"LAT","LON","DEPTH","TIME","ORID","EVID","JDATE","NASS","NDEF","NDP","GRN","SRN","ETYPE","DEPDP","DTYPE","MB","MBID","MS","MSID","ML","MLID","ALGORITHM","AUTH","COMMID","LDDATE"
30.050356,50.264667,100,1633050933.77725,21162947,21162881,2021274,90,41,0,348,29,,0,g,4.529641,46962006,-999,-1,4.312144,46962007,netvisa_infer,netvisa_2.2.55,-1,2021-10-01 06:57:02
52.157032,-171.19327,75.304672,1633047055.96953,21162772,21162705,2021274,109,46,0,9,1,,0,g,4.81604,46961713,-999,-1,4.341401,46961714,netvisa_infer,netvisa_2.2.55,-1,2021-10-01 05:57:08
35.856112,71.160777,10,1633007027.62619,21160910,21160819,2021273,53,35,0,710,47,,0,g,4.6548,46958670,-999,-1,4.89321,46958671,netvisa_infer,netvisa_2.2.55,-1,2021-09-30 18:56:59
-15.158192,-173.54722,0,1633146271.14002,21167443,21167379,2021275,16,13,0,173,12,,0,g,3.937265,46970974,-999,-1,4.471716,46970975,netvisa_infer,netvisa_2.2.55,-1,2021-10-02 09:36:55
55.017388,18.392284,0,1633000630.05229,21160507,21160401,2021273,11,8,0,537,36,,0,g,-999,-1,-999,-1,2.676487,46957757,netvisa_infer,netvisa_2.2.55,-1,2021-09-30 16:56:58
-29.623646,-178.30032,0,1632987501.81617,21159527,21159445,2021273,28,15,0,178,12,,0,g,4.725832,46955146,-999,-1,4.611799,46955147,netvisa_infer,netvisa_2.2.55,-1,2021-09-30 13:17:13
-8.644572,-72.093292,30,1633179227.72128,21169013,21168937,2021275,63,36,0,112,8,,0,g,5.14358,46973546,-999,-1,4.8434,46973547,netvisa_infer,netvisa_2.2.55,-1,2021-10-02 18:37:54
27.328518,-42.134221,7.677984,1633179597.70166,21169014,21168939,2021275,10,8,0,403,32,,0,g,4.431848,46973548,-999,-1,-999,-1,netvisa_infer,netvisa_2.2.55,-1,2021-10-02 18:37:54
-19.502925,174.74427,100,1633172439.69611,21168759,21168674,2021275,16,10,0,185,14,,0,g,3.913865,46973211,-999,-1,3.472801,46973212,netvisa_infer,netvisa_2.2.55,-1,2021-10-02 16:57:03
-19.779654,175.83439,0,1633186055.23147,21169356,21169303,2021275,13,10,0,171,12,,0,g,4.279702,46974091,-999,-1,4.921692,46974092,netvisa_infer,netvisa_2.2.55,-1,2021-10-02 20:36:53
32.960727,93.333448,0,1633321774.35651,21175195,21175085,2021277,11,8,0,306,26,,0,g,3.735853,46984624,-999,-1,3.030191,46984625,netvisa_infer,netvisa_2.2.55,-1,2021-10-04 10:16:50
41.054531,15.321162,0,1633200522.92862,21169981,21169907,2021275,7,5,0,390,31,,0,g,-999,-1,-999,-1,2.814886,46975133,netvisa_infer,netvisa_2.2.55,-1,2021-10-03 00:37:09
-18.79435,-175.79588,9,1633213734.88277,21170548,21170506,2021275,7,5,0,173,12,,0,g,3.914158,46976066,-999,-1,-999,-1,netvisa_infer,netvisa_2.2.55,-1,2021-10-03 04:16:42
16.807004,121.603,0,1633383112.83402,21178719,21178640,2021277,16,10,0,249,22,,0,g,3.860829,46991398,-999,-1,-999,-1,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 03:16:55
-6.828146,154.51547,0,1633510599.61981,21186209,21186099,2021279,21,13,0,193,15,,0,g,4.168862,47007126,-999,-1,3.594121,47007127,netvisa_infer,netvisa_2.2.55,-1,2021-10-06 14:37:04
-18.661641,169.5726,0,1633547691.10687,21187932,21187874,2021279,30,18,0,186,14,,0,g,4.415909,47010767,-999,-1,-999,-1,netvisa_infer,netvisa_2.2.55,-1,2021-10-07 00:56:50
36.542107,71.384246,110,1633393209.44779,21179199,21179130,2021278,51,32,0,717,48,,0,g,4.106975,46992269,-999,-1,4.426864,46992270,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 06:16:48
13.453851,93.513522,0,1633396325.88371,21179321,21179255,2021278,20,12,0,703,46,,0,g,3.861355,46992481,-999,-1,4.432382,46992482,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 06:56:57
47.165156,153.26112,0,1633578928.06635,21189470,21189377,2021280,37,22,0,221,19,,0,g,4.023477,47013613,-999,-1,3.536983,47013614,netvisa_infer,netvisa_2.2.55,-1,2021-10-07 09:36:51
30.371528,94.821504,99,1633401506.2182,21179592,21179500,2021278,33,22,0,306,26,,0,g,3.969791,46993093,-999,-1,4.331473,46993094,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 08:16:54
49.799598,155.68795,0,1633525562.79409,21186943,21186870,2021279,87,43,0,221,19,,0,g,4.597057,47009098,-999,-1,4.728978,47009099,netvisa_infer,netvisa_2.2.55,-1,2021-10-06 18:57:00
25.700813,124.94821,0,1633455026.03445,21182994,21182930,2021278,71,42,0,245,21,,0,g,4.889783,47000675,-999,-1,4.140374,47000676,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 23:17:59
25.807378,125.06792,100,1633457034.23536,21183129,21183054,2021278,70,35,0,246,21,,0,g,4.314879,47000890,-999,-1,3.71629,47000891,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 23:57:35
43.731428,146.93392,0,1633488924.46142,21184604,21184530,2021279,40,26,0,221,19,,0,g,4.227772,47003470,-999,-1,4.14854,47003471,netvisa_infer,netvisa_2.2.55,-1,2021-10-06 08:37:00
36.043318,27.191452,0,1633420458.9823,21180899,21180799,2021278,14,8,0,369,30,,0,g,4.014049,46996691,-999,-1,3.368103,46996692,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 13:37:09
36.865793,65.759422,10,1633420820.58131,21180977,21180888,2021278,66,38,0,718,48,,0,g,4.773279,46996834,-999,-1,5.090656,46996835,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 13:56:57
40.041558,142.2972,57.536721,1633455962.46006,21183063,21182987,2021278,109,53,0,228,19,,0,g,5.386567,47000789,-999,-1,5.212918,47000790,netvisa_infer,netvisa_2.2.55,-1,2021-10-05 23:37:36
35.192392,25.409998,0,1633458723.25105,21183185,21183115,2021278,19,14,0,370,30,,0,g,3.834445,47000991,-999,-1,3.472418,47000992,netvisa_infer,netvisa_2.2.55,-1,2021-10-06 00:17:01
-21.821976,-175.76608,9.271,1633566274.83644,21188756,21188692,2021280,8,5,0,173,12,,0,g,3.842118,47012253,-999,-1,-999,-1,netvisa_infer,netvisa_2.2.55,-1,2021-10-07 06:16:49
-19.707391,-175.42413,7.29,1633570653.53709,21188955,21188879,2021280,17,10,0,173,12,,0,g,4.473877,47012593,-999,-1,4.846995,47012594,netvisa_infer,netvisa_2.2.55,-1,2021-10-07 07:16:40
32.38721,49.67266,0,1633902723.24885,21206867,21206789,2021283,51,27,0,347,29,,0,g,4.05398,47045566,-999,-1,3.786784,47045567,netvisa_infer,netvisa_2.2.55,-1,2021-10-11 03:37:02
56.339553,-156.92676,0,1633974976.40326,21210887,21210824,2021284,24,20,0,12,1,,0,g,3.977991,47053598,-999,-1,3.673361,47053599,netvisa_infer,netvisa_2.2.55,-1,2021-10-11 23:37:19
48.45487,2.202214,10,1633985188.00817,21211389,21211312,2021284,12,7,0,538,36,,0,g,3.914302,47054416,-999,-1,3.073968,47054417,netvisa_infer,netvisa_2.2.55,-1,2021-10-12 02:37:31
51.855099,-174.42392,0,1633976744.11028,21210999,21210945,2021284,87,38,0,7,1,,0,g,4.518897,47053795,-999,-1,4.112683,47053796,netvisa_infer,netvisa_2.2.55,-1,2021-10-12 00:16:58
45.272816,8.542883,0,1633994294.90723,21211779,21211708,2021284,12,9,0,545,36,,0,g,3.775627,47055074,-999,-1,3.022744,47055075,netvisa_infer,netvisa_2.2.55,-1,2021-10-12 04:57:42
49.053419,-128.98424,0,1634050576.13747,21215280,21215210,2021285,36,18,0,25,2,,0,g,3.849872,47063273,-999,-1,3.681505,47063274,netvisa_infer,netvisa_2.2.55,-1,2021-10-12 20:37:21
-31.145777,-177.68018,0,1634400326.95549,21232768,21232696,2021289,48,21,0,177,12,,0,g,4.518493,47097576,-999,-1,4.057792,47097577,netvisa_infer,netvisa_2.2.55,-1,2021-10-16 21:57:00
-20.450208,-176.81444,5.9049,1634372393.7104,21231392,21231326,2021289,20,15,0,181,13,,0,g,4.268047,47095270,-999,-1,4.366923,47095271,netvisa_infer,netvisa_2.2.55,-1,2021-10-16 13:56:54
40.502371,42.558001,0,1634424023.93214,21233765,21233696,2021289,8,5,0,366,30,,0,g,2.918343,47099174,-999,-1,2.184004,47099175,netvisa_infer,netvisa_2.2.55,-1,2021-10-17 04:37:04
